	Title	Location	Company	Salary	Synopsis	origin	mean_annual_salary
30	Senior Data Scientist	Remote in Arlington, VA	Interos, Inc.	$120,000 - $160,000 a year	Strong understanding of data science fundamentals and data analysis techniques.Analyzing large open source and proprietary data sets to identify actionable…	Alexandria	140000.0
31	Data Scientist (Remote)	Remote in Washington, DC 20005	BlueLabs	$75,000 a year	Collaborate with engineers, data scientists, program managers and external stakeholders to troubleshoot problems and proactively create solutions.	Alexandria	75000.0
32	Senior Data Scientist	Washington, DC	MissionWired	$85,000 - $135,000 a year	Experience managing data warehouses and/or data lakes;Ability to build and optimize data pipelines, architectures, and data sets;	Alexandria	110000.0
33	Data Scientist	Washington, DC 20591 (Southwest Federal Center area)	US Federal Aviation Administration	$112,187 - $173,922 a year	Identifies risks in the NAS through the use of data sets, such as voice data, track data, incident/accident data, maps, etc.	Alexandria	143054.5
34	Data Scientist	Springfield, VA+3 locations	Accenture Federal Services	Up to $10,000 a month	Explores data sets and verifies data quality to gain an understanding of relevant data, then identifies differences in data distribution that could affect…	Alexandria	120000.0
35	Data Analyst Senior	McLean, VA 22102	Employment Enterprises	$60 an hour	Analyze data quality issues: profiling, analyzing, identifying proper data sources using SQL.Move product towards desired end state by gaining an understanding…	Alexandria	120000.0
36	Senior Data Analyst	Arlington, VA 22203 (Ashton Heights area)	OTHSolutions	$140,000 - $160,000 a year	In-depth understanding of data modeling methodologies, database optimization, data mining and segmentation techniques.Data analytics: 10 years (Required).	Alexandria	150000.0
37	Economist / Statistician	Washington, DC	US Consumer Financial Protection Bureau	$83,282 - $170,560 a year	U.S Citizens or U.S. Nationals; No prior federal experience is required.	Alexandria	126921.0
38	Business Intelligence Data Analyst	Remote in Arlington, VA	Interos, Inc.	$72,000 - $96,000 a year	Perform hands-on work with data analysis, data visualization, data validation and quality assurance.Rigorously and creatively mine and analyze data; ensure…	Alexandria	84000.0
39	Senior Data Scientist	Remote in Arlington, VA 22202	Bidscale	Up to $150,000 a year	Work with Engineers, Product Managers, and Analytics personnel to specify product data requirements and strive for greater functionality in our data systems.	Alexandria	150000.0
40	Data Scientist	Washington, DC	TAA Solutions LLC	$76,657 - $165,867 a year	This role sits with in OSSE’s CIO data management team working on various projects and business needs for multiple special education data systems.	Alexandria	121262.0
41	Junior Data Scientist	Reston, VA 20191	Dezign Concepts LLC	$100,000 - $125,000 a year	The Sponsor manages a large number of data scientists of varying levels of experience, and provides them challenging and exciting project work in a fast-paced…	Alexandria	112500.0
42	Statistician, GS-1530-13, DE, (Open Continuous)	Washington, DC	US Office for Civil Rights	$103,690 - $134,798 a year	United States Citizens If you are a current or former federal employee or are eligible under a special hiring authority (VEOA, Schedule A, etc.), you may be…	Alexandria	119244.0
43	Data Scientist Consultant	Washington, DC	Simatree	$75,000 - $150,000 a year	Knowledge of data structures, data modeling, replication and distribution, data/object relational database mapping.	Alexandria	112500.0
44	Senior Data Engineer	Remote in Arlington, VA	ls3staffing.com	$67.00 - $86.50 an hour	You will design, develop, and maintain systems for querying and processing data, working with data scientists to drive efficient solutions.	Alexandria	153500.0
45	Senior Data Scientist 3	Herndon, VA 20170	YSI	$125,000 - $130,000 a year	And other characteristics of data in predictive analysis, identifies/creates the appropriate algorithm to discover patterns.	Alexandria	127500.0
46	Statistician	Washington, DC	U.S. Department of Homeland Security	$85,838 - $116,788 a year	Recommending technical approaches to the compilation and presentation of data sets.Ensuring statistical accuracy throughout the collection and reporting of all…	Alexandria	101313.0
47	Senior Data Scientist	Herndon, VA	Accenture Federal Services	Up to $10,000 a month	Experience with managing data and creating algorithms using AWS.Experience with one of the following: technical collection, enrichment or exploitation of Open…	Alexandria	120000.0
48	Data Scientist II- Action Officer (1988)	Washington, DC 20571 (Downtown area)+1 location	EXECUTIVE PERSONNEL SERVICES INC	$104,000 a year	Possesses knowledge of appropriate data sources to address the specific requirements of projects for monitoring, characterization, analysis and modeling.	Alexandria	104000.0
49	Senior Data Analyst	Washington, DC 20002 (NoMa area)	Soul Tree LLC	$77 - $79 an hour	Senior Data Analyst is to provide data analysis and data management support within the data management team in the CIO’s office for various projects and…	Alexandria	156000.0
50	Senior Data Scientist at Rent-to-Own Startup	Remote in Washington, DC 20057+2 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	Alexandria	155000.0
51	Mathematical Statistician	Washington, DC	US Environmental Protection Agency	$106,823 - $138,868 a year	Provide recommendations and changes to policies based on data analysis and statistical approaches including clustering, multi-dimensional methods, and…	Alexandria	122845.5
52	Senior Data Analyst	Washington, DC 20019 (Greenway area)+1 location	Salem Infotech	$69,263 - $133,539 a year	Strong communication skills - ability to articulate technical terms and complex data clearly to non-technical audience both verbally and in writing.	Alexandria	101401.0
53	Sr. Data Scientist - Corporate@ Arlington, Virginia	Arlington, VA	CEDENT	$105,000 - $150,000 a year	Conduct exploratory data analysis from complex data sources and build key data sets to support Company’s mission.Terms of Hire: Full Time.	Alexandria	127500.0
54	Data Scientist/Data Analyst (TS/SCI FS Poly)	Fairfax, VA 22030	Insight Xcite LLC	$145,000 - $235,000 a year	Undertake preprocessing of structured and unstructured data.Identify valuable data sources and automate collection processes.	Alexandria	190000.0
55	Mid to Senior Geospatial Data Scientist	Washington, DC 20004 (Downtown area)	EpochGeo	$125,000 - $175,000 a year	Our developers, analysts, and data scientists have a proven track record applying open-source innovative technology, data science, and actionable analytics to…	Alexandria	150000.0
56	Data Scientist - Ads Optimization	Remote in Washington, DC	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.	Alexandria	182000.0
57	Information Technology Specialist- (Data Scientist)	Washington, DC 20003 (Navy Yard area)	Child and Family Services Agency	$89,457 - $115,262 a year	Identifies data quality issues for review and resolution.Develops methodologies and programs for analyzing and presenting data.	Alexandria	102359.5
58	Data Annotation Specialist, Arlington VA	Arlington, VA 22209 (North Rosslyn area)+1 location	Figure Eight Federal	From $35,000 a year	This position plays a critical role in developing training data for Artificial Intelligence and Machine Learning capabilities.Job Types: Full-time, Temporary.	Alexandria	35000.0
59	Senior Conservation Data Scientist	Washington, DC 20036 (Downtown area)	Defenders of Wildlife	$110,000 - $118,000 a year	Serve as Defenders’ lead scientist in the use of remotely sensed data, using data from Landsat and Sentinel 1 and 2 satellites, for example, to monitor species…	Alexandria	114000.0
60	ML engineer - Big Data, Amazon Ads	Arlington, VA+1 location	Amazon.com Services LLC	$147,000 a year	Understanding of ML based approaches. experience working with large scale data processing systems.Experience in databases, analytics, big data systems or…	Alexandria	147000.0
61	Data Scientist III - 100% Remote	Remote in Bethesda, MD 20814	Radian	$116,400 - $180,400 a year	Deep experience with data pipelines, data tools, and data organization for analytics.Comprehensive understanding of data structures, data modeling and software…	Alexandria	148400.0
62	Senior Data Scientist/Machine Learning Engineer	Remote in Washington, DC 20057+17 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	Alexandria	170000.0
63	Acquisition Specialist/Data Scientist II	Remote in Washington, DC 20003	HR Alignment Group, LLC	$40,478 - $119,553 a year	HR Alignment Group, LLC has been hired to fill a full-time *Acquisition SME* to support our client and work with cutting edge healthcare technology.	Alexandria	80015.5
64	Statistician, GS-1529/1530-11 (Interdisciplinary) DIRECT HIR...	Alexandria, VA 22314 (Eisenhower East area)	US National Science Foundation	$74,950 - $97,430 a year	Organizes data to support statistical analyses and proposes changes that improve the analytic utility of the data files, data organization, and data management…	Alexandria	86190.0
65	Senior Machine Learning Scientist 3	Herndon, VA 20170	YSI	$130,000 - $135,000 a year	Our benefits are very competitive that include 401(k), health, dental, and vision insurance, Life insurance, short-term and long-term disability insurance, paid…	Alexandria	132500.0
66	Data Scientist	Washington, DC	DigitCompass	$90,000 - $150,000 a year	Shall have a minimum of a Master’s degree in computer science, statistics, or applied mathematics, and demonstrated experience of four (4) years in creating…	Alexandria	120000.0
67	Sr. Fraud Data Analyst	Remote in Chantilly, VA	Peraton	From $86,694 a year	Minimum of 5 years of experience leading/managing fraud investigation teams at the state/federal level Must have knowledge of federal/state/local law…	Alexandria	86694.0
68	Senior Enterprise Data Specialist	Remote in Arlington County, VA	Interos, Inc.	$120,000 - $160,000 a year	Maintain the Interos data dictionary and master data catalogs.Have a demonstrated passion for data and working in data-driven organizations.	Alexandria	140000.0
69	Lead Systems Engineer/Data Scientist	Chantilly, VA 20151	Peraton	Up to $177,424 a year	You will lead in research, development, and demonstration activities related to various data technology areas.Colorado Salary Minimum: $82,992.00.	Alexandria	177424.0
70	Survey Statistician	Hyattsville, MD 20782	ePathUSA, Inc	$65,000 - $100,000 a year	Experience in data cleaning, data manipulation, data merging, data editing using SAS.Experience in data cleaning, data manipulation, data merging, data editing…	Alexandria	82500.0
71	Interdisciplinary Data Scientist (Advanced Analytics)	Washington, DC 20548 (Judiciary Square area)	US Government Accountability Office	$111,683 - $176,300 a year	Expert level, skill in processing and staging structured and unstructured data, metadata, and engineered features, including development of forensically sound,…	Alexandria	143991.5
72	Applied Machine Learning Researcher	McLean, VA+1 location	Accenture Federal Services	Up to $10,000 a month	Experience with managing data and creating algorithms using AWS.Refer a qualified candidate and earn up to $10K.2+ years of experience with Python.	Alexandria	120000.0
73	Senior Data Analyst	Reston, VA	ManTech International Corporation	$97,900 - $162,800 a year	Prior experience in data conversion, data migration, requirements gathering, data mapping and data source gap analysis.7+ years of data management experience.	Alexandria	130350.0
74	Lead Data Engineer - Snowflake	Remote in Arlington County, VA+1 location	Interos, Inc.	$131,250 - $175,000 a year	Guide data engineers, data scientists, and methodologists on best practices when working with Snowflake.8+ years building data solutions with a variety of data…	Alexandria	153125.0
75	Senior Data Analyst I (Remote)	Remote in Washington, DC 20005	BlueLabs	$75,000 a year	Check, clean and transform incoming data for data pipelines.Collaborate with engineers, data scientists, program managers and external stakeholders to…	Alexandria	75000.0
76	Data Analyst, Engineer, or Scientist Mid level TS/SCI	Washington, DC	Global Source Analytics Inc.	$130,000 - $145,000 a year	Candidate must have an active Top Secret Clearance with SCI Eligibility or will not be considered.Candidate must have a Bachelor's degree or better from an…	Alexandria	137500.0
77	Lead Data Engineer - Snowflake	Remote in Arlington County, VA	Interos, Inc.	$131,250 - $175,000 a year	Guide data engineers, data scientists, and methodologists on best practices when working with Snowflake.8+ years building data solutions with a variety of data…	Alexandria	153125.0
78	Staff Data Scientist - REMOTE USA	Remote in Washington, DC	Mandiant	$160,000 a year	Identify data sources; iterate and grow datasets over time.Explore and analyze data; perform ad-hoc analyses to answer targeted questions.	Alexandria	160000.0
79	Data Analyst - Infrastructure Technology Specialist Senior	Washington, DC 20002 (NoMa area)	Carson Solutions LLC	Up to $61 an hour	Large complex data sets and data modeling: 5 years (Required).The role of the Applications Technical Specialist serving as a Senior Data Analyst is to provide…	Alexandria	122000.0
80	Associate Data Scientist	Washington, DC+1 location	MissionWired	$55,000 - $75,000 a year	Ability to optimize data pipelines, architectures, and data sets.Supporting the development of infrastructure for optimal extraction, transformation, and…	Alexandria	65000.0
81	Principal Data Scientist	Washington, DC	MissionWired	$90,000 a year	Experience managing data warehouses and/or data lakes;We are looking for candidates in a range of seniority levels, including very experienced data scientists.	Alexandria	90000.0
82	Statistician (Social Science)	Temporarily Remote in Washington, DC+1 location	US Office of Justice Programs	$74,950 - $116,788 a year	Performs various statistical data collection activities, such as preparing, processing, analyzing, and coordinating core and periodic data collections.	Alexandria	95869.0
83	Data & Information Architect/Manager	Springfield, VA 22150	Inalab Consulting, Inc	Up to $150,000 a year	Experience with data governance, data management maturity, data management roadmaps.Experience using data modeling software preferably ERwin data modeling tool…	Alexandria	150000.0
84	Senior Evaluation Advisor	Temporarily Remote in Washington, DC 20004	U.S. Agency for International Development	$126,233 - $164,102 a year	Examples of qualifying specialized experience at the next lower level for this position include: a) experience in conducting qualitative and quantitative…	Alexandria	145167.5
85	Senior Data Analyst	Washington, DC	ASRC Federal Holding Company	$81,424 - $119,400 a year	Define plans for data that needs to be brought forward from legacy system and that does not meet new data standards (bad data planning).	Alexandria	100412.0
86	Mathematical Statistician (Open to both U.S. Citizens and Fe...	Washington, DC	US National Highway Traffic Safety Administration	$74,950 - $138,868 a year	Current or former competitive service federal employees.Family members of a federal employee or uniformed service member who is or was, working overseas.	Alexandria	106909.0
87	Lead Machine Learning Engineer	Remote in Washington, DC 20005	S&P Global	$83,200 - $190,100 a year	The candidate will develop solutions to process alternative data from structured and unstructured sources, generate meaningful data classifications and text…	Alexandria	136650.0
88	SUPERVISORY MATHEMATICAL STATISTICIAN	Temporarily Remote in Alexandria, VA 22350	US Defense Human Resources Activity	$126,233 - $164,102 a year	This work requires coordination with survey analysts, operations staff, and programmers to construct and manage data files; it includes providing guidance and…	Alexandria	145167.5
89	Lead Statistician	Remote in Springfield, VA	SAIC	$125,001 - $135,000 a year	Create data analysis code using R.Conduct data analysis in classified work area.Strong experience with analyzing data sets and coding in R.	Alexandria	130000.5
90	Cleared Data Scientist	Reston, VA	Leading Path Consulting	$150,000 - $200,000 a year	The Sponsor produces internal data science training and manages external data science training for our data scientists.	Alexandria	175000.0
91	Senior Cloud Data Engineer	Remote in Reston, VA 20190	SAIC	$175,001 - $185,000 a year	ETL/ELT or data warehousing experience working on the design, development and documentation of large-scale data objects from disparate data sources.	Alexandria	180000.5
92	Machine Learning Engineer, Platform	Remote in Washington, DC 20057+2 locations	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).	Alexandria	170000.0
93	Acquisition Support- Data Scientist II (1481)	Washington, DC 20002 (NoMa area)	EXECUTIVE PERSONNEL SERVICES INC	$104,000 a year	Knowledge of appropriate data sources to address the specific requirements of projects for monitoring, characterization, analysis and modeling.	Alexandria	104000.0
94	Cyber Data Science Engineer (Polygraph Required)	McLean, VA	Zachary Piper Solutions	$150,000 - $180,000 a year	At least 2 years in data mining and data set preparation (SQL).At least 2 years of work experience with data science, business analytics, business intelligence…	Alexandria	165000.0
95	Public Notice for Mathematician (Direct Hire)	Washington, DC	US Federal Aviation Administration	$41,235 - $155,403 a year	Examples may include but are not limited to: analyzing system performance by using mathematical techniques; experience identifying problems through the analysis…	Alexandria	98319.0
96	Master Data Manager	Temporarily Remote in Washington, DC 20405	Barrow Wise Consulting	$90,000 - $145,000 a year	Utilize data networks, file systems, a data warehouse, data marts, an operational data store, data mining, data analysis, data visualization, data federation,…	Alexandria	117500.0
97	Statistical Programming Analyst	Washington, DC+1 location	DigitCompass	$90,000 - $150,000 a year	Developing analytic software, applications and tools to process complex SEC data sets using agile methodology, modern econometrics methods, statistical modeling…	Alexandria	120000.0
98	Software Engineer (Deep Learning)	Rockville, MD 20850	Barrow Wise Consulting	$84,000 - $110,000 a year	Utilizes big data computation and storage models to create prototypes and data sets.Enjoy problem-solving, need a venue to display your creativity, and…	Alexandria	97000.0
99	Principal Deputy Director - Bureau of Justice Statistics	Washington, DC	US Office of Justice Programs	$135,468 - $203,700 a year	MTQ 2: Knowledge of major challenges confronting the Federal statistical system and demonstrated expertise in designing solutions to these challenges, such as…	Alexandria	169584.0
100	Data Protection Lead (Remote eligible)	Remote in Washington, DC 20024	Mathematica Policy Research	$100,000 - $150,000 a year	Experience working with large, unstructured data sets containing protected data.Ability to apply data governance and data lifecycle management concepts to…	Alexandria	125000.0
101	Principal ML & NLP Engineer	Remote in Washington, DC 20057+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	Alexandria	170000.0
102	Senior Project Manager: Life Science, Interiors, Tilt Wall,...	Washington, DC	Scott Humphrey Corporation	$100,000 - $185,000 a year	National general contractor that specializes in the construction of commercial interiors, cold storage facilities, Data Centers, and Life Science Facilities.	Alexandria	142500.0
103	Senior/ Lead AI/ML Engineer 3	Herndon, VA 20170	YSI	$120,000 - $125,000 a year	Master’s degree or PhD in data science, machine learning, statistics, computer science, applied math, or related highly quantitative field.	Alexandria	122500.0
104	Machine Learning Engineer	Arlington County, VA	Snagajob	$112,000 - $138,000 a year	Collaborate with data scientists, developers, and product managers to integrate and validate machine learning solutions end to end.	Alexandria	125000.0
105	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.	Alexandria	125491.0
106	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.	Alexandria	151000.0
107	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.	Alexandria	177500.0
108	Senior Supply Chain Data Analyst	United States	Logistics Plus Inc	$25 - $29 an hour	The Central Planning and Analytics (CPA) team provides analytical and project management.Services for DSPA Global and Regional Planning teams.	Alexandria	54000.0
109	AI Edge Engineer (TS/SCI)	Springfield, VA	NewCareers	$175,000 - $225,000 a year	Analyzes, designs, and implements cognitive AI solutions that span:Integrates Palantir Gotham and edge software into real-world environments.	Alexandria	200000.0
110	AI Edge Engineer (TS/SCI)	Springfield, VA	Food Management Search	$175,000 - $225,000 a year	Analyzes, designs, and implements cognitive AI solutions that span:Integrates Palantir Gotham and edge software into real-world environments.	Alexandria	200000.0
111	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…	Alexandria	262000.0
112	Senior Statistical Programmer	United States	AL2S3 LTD	Up to $150,000 a year	You will be working with some of the most advanced analytics.	Alexandria	150000.0
113	Data Engineer	Reston, VA	Seneca Resources	$85,000 - $90,000 a year	This aspect of data management will assist the logistics community by establishing hierarchy, cleansing, and curating hundreds of data injects from multiple…	Alexandria	87500.0
114	AI Edge Engineer (TS/SCI)	Springfield, VA	Gables Search Group	$175,000 - $225,000 a year	Analyzes, designs, and implements cognitive AI solutions that span:Integrates Palantir Gotham and edge software into real-world environments.	Alexandria	200000.0
115	AI Edge Engineer (TS/SCI)	Springfield, VA	Oculus Search Partners LLC	$175,000 - $225,000 a year	Analyzes, designs, and implements cognitive AI solutions that span:Integrates Palantir Gotham and edge software into real-world environments.	Alexandria	200000.0
116	Backend Developer - AI/NLP (Only W2)	Bethesda, MD	TAJ Technologies Inc	$110,000 - $120,000 a year	Client: NIH National Institutes of Health (Federal Client)*.As well as your strong experience in backend development, to maintain and develop exciting projects…	Alexandria	115000.0
117	Junior Machine Learning Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…	Alexandria	64000.0
118	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.	Alexandria	110000.0
119	Senior HR Data Analyst	McLean, VA 22102+2 locations	Peraton	Up to $197,912 a year	Demonstarted experience with managing HR data, conducting analysis of personnel and position data.Extracts data and develops reports as needed for HRM…	Alexandria	197912.0
120	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…	Alexandria	64000.0
121	Sr. Data Scientist	Temporarily Remote in Arlington, VA 22201	Excella, Inc.	$125,000 - $190,000 a year	Using machine learning and data mining technique to understand the patterns in large volumes of data, identify relationships detect data anomalies, and classify…	Alexandria	157500.0
122	Data Scientist I	Vienna, VA 22180	Navy Federal Credit Union	$42.00 - $56.50 an hour	Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.	Alexandria	98500.0
123	Data Scientist	Washington, DC 20002 (Truxton Circle area)	Government of the District of Columbia	$89,457 - $115,262 a year	The candidate will perform exploratory data analysis and identify meaningful patterns and relationships within the data.Pay Plan, Series and Grade: CS-0101-13.	Alexandria	102359.5
124	Data Scientist (appropriate polygraph required)	Tysons Corner, VA	Praxis Engineering	$125,000 - $160,000 a year	Analyze both structured and unstructured data using data analytics, natural language processing, and artificial intelligence/machine learning techniques.	Alexandria	142500.0
125	Senior Data Scientist	Remote in Washington, DC 20001	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.We are a thriving & monetized digital identity enterprise with more…	Alexandria	160000.0
126	Data Scientist I	Vienna, VA 22180	Navy Federal Credit Union	$101,500 - $156,100 a year	Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.	Alexandria	128800.0
127	Data Scientist	Washington, DC	US Federal Aviation Administration	$112,187 - $173,922 a year	This job is open to.U.S. Citizens, Nationals or those who owe allegiance to the U.S.Individuals eligible under a special authority not listed above, but…	Alexandria	143054.5
128	Mathematical Statistician	Washington, DC	US Environmental Protection Agency	$106,823 - $138,868 a year	U.S. Citizens, Nationals or those who owe allegiance to the U.S.	Alexandria	122845.5
129	Senior Data Scientist	Remote in Arlington, VA+3 locations	Interos, Inc.	$120,000 - $160,000 a year	Strong understanding of data science fundamentals and data analysis techniques.Analyzing large open source and proprietary data sets to identify actionable…	Alexandria	140000.0
